"asoc_1976","asoc_1977","asoc_1978","asoc_1979","asoc_1980","asoc_1981","asoc_1982","asoc_1983","asoc_1984","asoc_1985","asoc_1986","asoc_1987","asoc_1988","asoc_1989","asoc_1990","asoc_1991","asoc_1992","asoc_1993","asoc_1994","asoc_1995","asoc_1996","asoc_1997","asoc_1998","asoc_1999","asoc_2000","asoc_2001","asoc_2002","asoc_2003","asoc_2004","asoc_2005","asoc_2006","asoc_2007","asoc_2008","asoc_2009","asoc_2010","asoc_2011","asoc_2012","asoc_2013","asoc_2014","asoc_2015","asoc_2016","asoc_2017","asoc_2018","asoc_2019","asoc_2020","asoc_post75","muni_code","asoc_66_75"
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,1,1,0,0,2,3,0,1,1,1,2,2,3,1,1,3,4,2,0,3,2,1,43,"01001",0
0,2,1,1,0,1,1,1,0,1,0,0,6,1,1,2,1,3,6,2,24,7,6,5,6,1,6,0,5,7,3,7,3,4,3,7,1,4,4,5,5,3,2,3,1,152,"01002",0
0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,2,3,0,0,1,0,1,0,2,2,0,0,3,0,2,0,0,0,1,1,0,0,0,1,1,0,27,"01003",1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,2,1,2,1,1,1,1,2,0,1,0,0,0,24,"01004",0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,9,"01006",0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,0,0,0,0,1,1,0,0,0,16,"01008",0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,1,4,0,1,1,2,1,1,1,2,1,0,27,"01009",1
0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,3,0,0,0,1,1,2,3,3,1,1,1,0,1,1,0,1,1,3,0,2,0,1,1,0,2,0,1,0,37,"01010",0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,12,"01011",0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,1,0,0,2,1,1,1,1,3,1,1,0,2,0,1,1,23,"01013",0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"01014",0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,"01016",1
0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3,1,1,0,3,1,1,0,2,2,1,1,0,0,0,1,1,0,1,1,0,2,0,2,1,0,1,1,1,32,"01017",1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,2,2,0,0,0,0,2,2,0,1,0,1,1,0,2,3,0,1,3,1,0,4,0,33,"01018",0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,12,"01019",0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,12,"01020",0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,2,0,1,1,0,0,2,0,0,1,2,0,0,1,0,19,"01021",0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,17,"01022",0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2,1,1,1,0,1,0,0,0,13,"01023",0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,2,1,0,1,1,0,0,0,1,18,"01027",1
0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,2,0,2,1,0,0,1,2,1,1,1,1,2,1,2,1,0,1,0,0,0,3,2,1,1,1,0,2,36,"01028",0
