"muni_code","top","top_noeta","top_vio","top_nonvio","top_asocprop"
"01002",1,1,0,1,0
"01003",2,2,0,2,2
"01009",2,2,0,2,2
"01018",1,1,0,1,0
"01036",5,5,0,5,4
"01051",3,1,0,3,3
"01054",1,1,0,1,1
"01058",1,1,0,1,0
"01059",94,64,10,84,62
"02003",13,13,2,11,10
"02011",1,1,1,0,0
"02033",1,1,0,1,1
"02037",2,2,0,2,2
"02086",2,2,0,2,2
"03009",15,15,0,15,15
"03011",2,2,0,2,2
"03014",30,30,7,23,12
"03017",2,2,0,2,2
"03018",1,1,0,1,1
"03031",1,1,1,0,0
"03048",1,1,0,1,1
"03049",3,3,0,3,1
"03056",4,4,0,4,4
"03065",12,12,4,8,7
"03066",10,10,1,9,4
"03071",1,1,0,1,0
"03079",1,1,0,1,1
"03089",1,1,1,0,0
"03092",5,5,0,5,5
"03099",4,4,2,2,2
"03104",2,2,0,2,2
"03111",1,1,1,0,0
"03119",1,1,0,1,0
"03139",1,1,1,0,0
"04011",1,1,0,1,0
"04013",12,12,6,6,4
"04050",1,1,1,0,0
"04057",1,1,0,1,0
"04062",2,2,0,2,2
"05082",6,6,6,0,0
"05114",1,1,0,1,0
"05168",1,1,0,1,1
"06002",1,1,0,1,0
"06006",2,2,0,2,1
"06015",12,12,0,12,1
"06019",1,1,0,1,0
"06023",1,1,0,1,0
"06025",3,3,0,3,3
"06044",4,4,0,4,4
"06050",1,1,0,1,0
"06052",1,1,0,1,0
"06058",1,1,0,1,0
"06088",2,2,0,2,0
"06097",1,1,1,0,0
"06108",1,1,0,1,0
"06120",1,1,0,1,1
"06121",1,1,0,1,1
"06147",1,1,0,1,0
"07026",2,2,0,2,0
"07027",1,1,0,1,1
"07033",1,1,1,0,0
"07040",42,42,16,26,18
"07042",1,1,0,1,0
"08005",1,1,0,1,1
"08007",1,1,0,1,0
"08009",1,1,0,1,1
"08015",48,48,8,40,17
"08019",987,987,113,874,449
"08035",2,2,0,2,0
"08038",1,1,0,1,1
"08040",2,2,2,0,0
"08041",3,3,0,3,3
"08051",1,1,0,1,0
"08056",1,1,1,0,0
"08067",2,2,0,2,0
"08073",22,22,1,21,8
"08077",8,8,2,6,3
"08086",1,1,0,1,1
"08087",2,2,0,2,1
"08089",10,10,5,5,2
"08096",6,6,0,6,4
"08101",73,73,18,55,23
"08102",3,3,2,1,0
"08105",2,2,1,1,1
"08110",1,1,0,1,0
"08113",6,6,1,5,4
"08121",53,53,3,50,25
"08123",5,5,0,5,4
"08124",3,3,0,3,3
"08125",6,6,0,6,4
"08138",1,1,0,1,1
"08143",1,1,0,1,0
"08147",1,1,0,1,0
"08155",1,1,0,1,0
"08167",1,1,0,1,1
"08169",1,1,1,0,0
"08180",14,14,2,12,9
"08184",10,10,1,9,4
"08187",140,140,11,129,55
"08191",7,7,0,7,0
"08194",15,15,5,10,3
"08196",1,1,0,1,1
"08200",12,12,5,7,3
"08205",1,1,0,1,0
"08211",3,3,0,3,1
"08217",2,2,0,2,0
"08238",2,2,0,2,0
"08245",27,27,0,27,15
"08252",1,1,0,1,0
"08259",1,1,0,1,1
"08260",2,2,1,1,0
"08263",1,1,0,1,0
"08266",15,15,1,14,7
"08270",1,1,1,0,0
"08274",1,1,0,1,0
"08279",95,95,6,89,43
"08283",1,1,0,1,0
"08285",1,1,0,1,1
"08297",1,1,0,1,1
"08298",9,9,1,8,6
"08301",7,7,1,6,2
"08305",1,1,0,1,0
"08307",8,8,3,5,4
"09018",2,2,0,2,2
"09059",8,8,0,8,5
"09209",1,1,0,1,0
"09219",6,6,1,5,0
